participantId,gender,device,screen width,screen height,pixel ratio,w1 result,w1 first time,w1 last time,w1 relunctance,w2 result,w2 first time,w2 last time,w2 relunctance,bs1 result,bs1 first time,bs1 last time,bs1 relunctance,bs2 result,bs2 first time,bs2 last time,bs2 relunctance,bsm1 result,bsm1 first time,bsm1 last time,bsm1 relunctance,bsm2 result,bsm2 first time,bsm2 last time,bsm2 relunctance,ss1 result,ss1 first time,ss1 last time,ss1 relunctance,ss2 result,ss2 first time,ss2 last time,ss2 relunctance,ssm1 result,ssm1 first time,ssm1 last time,ssm1 relunctance,ssm2 result,ssm2 first time,ssm2 last time,ssm2 relunctance
0575624,male,phone,320,568,2,1,62699,62699,1,1,498544,498544,1,1,28856,28856,1,1,46242,46242,1,1,25192,25192,1,1,29983,29983,1,1,24219,24219,1,1,17680,17680,1,1,23320,23320,1,1,49553,49553,1
0267696,male,phone,375,667,2,1,44476,44476,1,0,44119,44119,1,1,42234,42234,1,1,19260,19260,1,1,64645,64645,1,1,18713,34049,2,1,26880,26880,1,1,24196,24196,1,1,16604,16604,1,0,20471,20471,1
1359312,male,phone,375,667,2,1,52023,52023,1,1,50871,50871,1,1,28928,28928,1,1,24566,24566,1,1,17129,17129,1,0,34758,34758,1,1,20366,20366,1,1,19307,19307,1,1,13420,13420,1,1,9888,9888,1
2401378,male,phone,360,740,3,0,41319.520000000004,41319.520000000004,1,1,72110.31000000001,72110.31000000001,1,1,49841.71000000001,49841.71000000001,1,1,19574.65,19574.65,1,1,29569.585000000003,29569.585000000003,1,0,39158.23,39158.23,1,1,21420.425000000003,21420.425000000003,1,1,26860.52,26860.52,1,1,24466.780000000002,24466.780000000002,1,1,40411.175,40411.175,1
8984600,male,phone,375,812,3,1,85634,85634,1,0,31686,31686,1,0,38740,38740,1,0,25700,25700,1,0,21589,21589,1,0,22637,22637,1,0,40236,40236,1,0,18195,18195,1,0,51306,51306,1,0,37586,37586,1
8703122,male,phone,360,640,4,0,-1512345149866.995,-1512345149866.995,1,0,-1512345160498.04,-1512345160498.04,1,1,-1512345290085.395,-1512345290085.395,1,1,-1512345308944.925,-1512345308944.925,1,1,-1512345372887.935,-1512345372887.935,1,1,-1512345383387.985,-1512345383387.985,1,1,-1512345437156.09,-1512345437156.09,1,1,-1512345492442.975,-1512345492442.975,1,1,-1512345527002.39,-1512345527002.39,1,0,-1512345526707.695,-1512345526707.695,1
4843159,n/a,phone,375,667,3,0,35786,35786,1,0,32582,32582,1,1,25610,25610,1,0,50770,50770,1,1,2186,2186,1,0,2058,2058,1,0,2075,2075,1,0,3947,3947,1,1,2005,2005,1,0,1615,1615,1
6098720,male,phone,375,667,2,0,32923,54076,5,0,50716,50716,1,1,9966,9966,1,0,14685,14685,1,1,9360,13469,4,1,13942,13942,1,0,123975,123975,1,0,2664,6124,3,1,16362,16362,1,0,7772,7772,1
0088492,female,phone,360,640,3,1,22463.485,22463.485,1,0,51329.705,51329.705,1,1,8518.075,8518.075,1,0,15985.470000000001,15985.470000000001,1,1,28331.065000000002,28331.065000000002,1,1,19755.525,19755.525,1,1,19115.695000000003,19115.695000000003,1,1,12150.735,12150.735,1,1,14901.755000000001,14901.755000000001,1,0,14149.19,14149.19,1
5103221,male,phone,412,732,3,1,-1512454212741.38,-1512454212741.38,2,1,-1512454242962.96,-1512454242962.96,1,1,-1512454261334.245,-1512454261334.245,1,1,-1512454293051.975,-1512454293051.975,1,1,-1512454293979.955,-1512454293979.955,1,0,-1512454343686.965,-1512454343686.965,1,1,-1512454366520.95,-1512454366520.95,1,1,-1512454384782.06,-1512454384782.06,1,1,-1512454401487.795,-1512454401487.795,2,1,-1512454413419.74,-1512454413419.74,1
