date,city A,city B,city C
2016-01-01,46,80,46
2016-01-02,46,80,46
2016-01-03,48,82,49
2016-01-04,54,82,49
2016-01-05,52,82,50
2016-01-06,54,82,48
2016-01-07,52,82,48
2016-01-08,50,81,44
2016-01-09,55,82,44
2016-01-10,54,83,46
2016-01-11,55,82,44
2016-01-12,53,82,38
2016-01-13,57,82,40
2016-01-14,50,86,42
2016-01-15,54,86,43
2016-01-16,60,84,44
2016-01-17,58,87,42
2016-01-18,58,84,37
2016-01-19,58,84,42
2016-01-20,55,84,39
2016-01-21,58,84,41
2016-01-22,60,86,44
2016-01-23,55,85,40
2016-01-24,54,74,40
2016-01-25,54,64,37
2016-01-26,51,66,39
2016-01-27,54,70,43
2016-01-28,53,74,46
2016-01-29,62,82,41
2016-01-30,56,84,38
2016-01-31,52,86,43
2016-02-01,50,85,40
2016-02-02,52,84,44
2016-02-03,49,82,41
2016-02-04,54,80,42
2016-02-05,50,82,44
2016-02-06,54,79,44
2016-02-07,56,71,41
2016-02-08,60,68,41
2016-02-09,56,74,46
2016-02-10,56,77,42
2016-02-11,66,79,44
2016-02-12,59,82,44
2016-02-13,60,84,58
2016-02-14,58,85,66
2016-02-15,64,86,46
2016-02-16,64,85,42
2016-02-17,62,85,45
2016-02-18,58,84,42
2016-02-19,57,84,48
2016-02-20,54,85,48
2016-02-21,52,84,52
2016-02-22,55,84,45
2016-02-23,56,86,45
2016-02-24,56,84,42
2016-02-25,58,82,40
2016-02-26,60,82,42
2016-02-27,60,82,45
2016-02-28,57,83,48
2016-02-29,61,82,49
2016-03-01,58,80,42
2016-03-02,57,82,44
2016-03-03,62,84,48
2016-03-04,62,84,51
2016-03-05,62,87,53
2016-03-06,62,86,56
2016-03-07,60,88,57
2016-03-08,55,88,62
2016-03-09,60,88,46
2016-03-10,66,86,42
2016-03-11,58,87,40
2016-03-12,56,88,42
2016-03-13,58,87,44
2016-03-14,58,88,42
2016-03-15,54,88,48
2016-03-16,56,89,47
2016-03-17,63,88,56
2016-03-18,58,88,58
2016-03-19,59,88,60
2016-03-20,60,89,59
2016-03-21,58,89,50
2016-03-22,56,90,52
2016-03-23,56,90,55
2016-03-24,56,92,44
2016-03-25,58,89,46
2016-03-26,58,86,48
2016-03-27,59,84,52
